Event Type,Button/Key,Action,Position,Timestamp
Mouse,(Move),Moved,(604.5703125, 287.6171875),2025-02-21 22:02:50
Mouse,(Move),Moved,(604.5703125, 293.23046875),2025-02-21 22:02:50
Mouse,(Move),Moved,(604.5703125, 302),2025-02-21 22:02:50
Mouse,(Move),Moved,(600.8671875, 316.8046875),2025-02-21 22:02:50
Mouse,(Move),Moved,(598.22265625, 333.97265625),2025-02-21 22:02:50
Mouse,(Move),Moved,(592.2578125, 356.328125),2025-02-21 22:02:50
Mouse,(Move),Moved,(585.92578125, 381.6484375),2025-02-21 22:02:50
Mouse,(Move),Moved,(577.57421875, 410.0390625),2025-02-21 22:02:50
Mouse,(Move),Moved,(560.3046875, 474.17578125),2025-02-21 22:02:50
Mouse,(Move),Moved,(553.26171875, 493.88671875),2025-02-21 22:02:50
Mouse,(Move),Moved,(525.90234375, 570.48828125),2025-02-21 22:02:50
Mouse,(Move),Moved,(516.40625, 594.2265625),2025-02-21 22:02:50
Mouse,(Move),Moved,(500.2265625, 634.671875),2025-02-21 22:02:50
Mouse,(Move),Moved,(478.2578125, 680.80078125),2025-02-21 22:02:50
Mouse,(Move),Moved,(460.0546875, 719.22265625),2025-02-21 22:02:50
Mouse,(Move),Moved,(439.828125, 757.64453125),2025-02-21 22:02:50
Mouse,(Move),Moved,(434.08984375, 769.1171875),2025-02-21 22:02:50
Mouse,(Move),Moved,(419.0546875, 794.16796875),2025-02-21 22:02:50
Mouse,(Move),Moved,(407.08984375, 813.6015625),2025-02-21 22:02:50
Mouse,(Move),Moved,(403.53515625, 819.8203125),2025-02-21 22:02:50
Mouse,(Move),Moved,(395.5, 830.14453125),2025-02-21 22:02:50
Mouse,(Move),Moved,(390.625, 837.94140625),2025-02-21 22:02:50
Mouse,(Move),Moved,(387.75390625, 841.5234375),2025-02-21 22:02:50
Mouse,(Move),Moved,(385.2265625, 844.046875),2025-02-21 22:02:50
Mouse,(Move),Moved,(384.4765625, 844.79296875),2025-02-21 22:02:50
Mouse,(Move),Moved,(383.72265625, 845.16796875),2025-02-21 22:02:50
Mouse,(Move),Moved,(382.96875, 845.54296875),2025-02-21 22:02:50
Mouse,(Move),Moved,(382.67578125, 845.54296875),2025-02-21 22:02:50
Mouse,(Move),Moved,(381.921875, 845.54296875),2025-02-21 22:02:50
Mouse,(Move),Moved,(378.99609375, 836.76953125),2025-02-21 22:02:50
Mouse,(Move),Moved,(375.55078125, 824.14453125),2025-02-21 22:02:50
Mouse,(Move),Moved,(371.32421875, 804.4296875),2025-02-21 22:02:50
Mouse,(Move),Moved,(359.1875, 761.95703125),2025-02-21 22:02:50
Mouse,(Move),Moved,(351.09765625, 719.484375),2025-02-21 22:02:50
Mouse,(Move),Moved,(337.8984375, 668.890625),2025-02-21 22:02:50
Mouse,(Move),Moved,(325.11328125, 599.8671875),2025-02-21 22:02:50
Mouse,(Move),Moved,(312.328125, 530.84375),2025-02-21 22:02:50
Mouse,(Move),Moved,(296.98828125, 461.8203125),2025-02-21 22:02:50
Mouse,(Move),Moved,(289.953125, 430.17578125),2025-02-21 22:02:50
Mouse,(Move),Moved,(276.21875, 375.25),2025-02-21 22:02:50
Mouse,(Move),Moved,(270.93359375, 358.078125),2025-02-21 22:02:50
Mouse,(Move),Moved,(266.6875, 347.46875),2025-02-21 22:02:50
Mouse,(Move),Moved,(259.2109375, 325.0390625),2025-02-21 22:02:50
Mouse,(Move),Moved,(254.62109375, 312.4140625),2025-02-21 22:02:50
Mouse,(Move),Moved,(251.6953125, 303.640625),2025-02-21 22:02:50
Mouse,(Move),Moved,(249.80078125, 300.48046875),2025-02-21 22:02:50
Mouse,(Move),Moved,(248.87890625, 299.09765625),2025-02-21 22:02:50
Mouse,(Move),Moved,(247.49609375, 298.17578125),2025-02-21 22:02:50
Mouse,(Move),Moved,(246.11328125, 298.17578125),2025-02-21 22:02:50
Mouse,(Move),Moved,(244.73828125, 298.6328125),2025-02-21 22:02:50
Mouse,(Move),Moved,(241.8671875, 302.21484375),2025-02-21 22:02:50
Mouse,(Move),Moved,(239.71484375, 306.515625),2025-02-21 22:02:50
Mouse,(Move),Moved,(238.44921875, 309.671875),2025-02-21 22:02:50
