Event Type,Button/Key,Action,Position,Timestamp
Mouse,Move,Moved,(614.05078125, 291.5546875),2025-02-21 21:09:37
Mouse,Move,Moved,(612.15625, 294.078125),2025-02-21 21:09:37
Mouse,Move,Moved,(610.890625, 297.234375),2025-02-21 21:09:37
Mouse,Move,Moved,(607.6796875, 302.046875),2025-02-21 21:09:37
Mouse,Move,Moved,(602.8046875, 309.84375),2025-02-21 21:09:37
Mouse,Move,Moved,(597.5, 319.390625),2025-02-21 21:09:37
Mouse,Move,Moved,(592.203125, 328.91796875),2025-02-21 21:09:37
Mouse,Move,Moved,(586.46484375, 340.390625),2025-02-21 21:09:37
Mouse,Move,Moved,(580.7265625, 351.86328125),2025-02-21 21:09:37
Mouse,Move,Moved,(573.83984375, 363.3359375),2025-02-21 21:09:37
Mouse,Move,Moved,(567.66796875, 376.91015625),2025-02-21 21:09:37
Mouse,Move,Moved,(561.49609375, 390.484375),2025-02-21 21:09:37
Mouse,Move,Moved,(556.90625, 403.10546875),2025-02-21 21:09:37
Mouse,Move,Moved,(552.31640625, 415.7265625),2025-02-21 21:09:37
Mouse,Move,Moved,(547.37890625, 430.53125),2025-02-21 21:09:37
Mouse,Move,Moved,(543.94140625, 443.12109375),2025-02-21 21:09:37
Mouse,Move,Moved,(541.47265625, 457.92578125),2025-02-21 21:09:37
Mouse,Move,Moved,(539.17578125, 470.546875),2025-02-21 21:09:37
Mouse,Move,Moved,(539.17578125, 485.3515625),2025-02-21 21:09:37
Mouse,Move,Moved,(539.17578125, 497.97265625),2025-02-21 21:09:37
Mouse,Move,Moved,(539.17578125, 510.59375),2025-02-21 21:09:37
Mouse,Move,Moved,(539.17578125, 523.21484375),2025-02-21 21:09:37
Mouse,Move,Moved,(543.76171875, 535.8359375),2025-02-21 21:09:37
Mouse,Move,Moved,(558.00390625, 557.98828125),2025-02-21 21:09:37
Mouse,Move,Moved,(569.890625, 571.1953125),2025-02-21 21:09:37
Mouse,Move,Moved,(583.09765625, 583.08203125),2025-02-21 21:09:37
Mouse,Move,Moved,(601.0390625, 596.53515625),2025-02-21 21:09:37
Mouse,Move,Moved,(620.47265625, 608.49609375),2025-02-21 21:09:37
Mouse,Move,Moved,(644.2109375, 619.5703125),2025-02-21 21:09:37
Mouse,Move,Moved,(669.53125, 627.48046875),2025-02-21 21:09:37
Mouse,Move,Moved,(701.171875, 636.26953125),2025-02-21 21:09:37
Mouse,Move,Moved,(732.8125, 641.54296875),2025-02-21 21:09:37
Mouse,Move,Moved,(764.453125, 646.81640625),2025-02-21 21:09:37
Mouse,Move,Moved,(799.5234375, 648.66015625),2025-02-21 21:09:37
Mouse,Move,Moved,(831.1640625, 650.41796875),2025-02-21 21:09:37
Mouse,Move,Moved,(862.8046875, 650.41796875),2025-02-21 21:09:37
Mouse,Move,Moved,(894.4453125, 650.41796875),2025-02-21 21:09:37
Mouse,Move,Moved,(919.765625, 648.83203125),2025-02-21 21:09:37
Mouse,Move,Moved,(945.0859375, 640.91796875),2025-02-21 21:09:38
Mouse,Move,Moved,(970.40625, 633.00390625),2025-02-21 21:09:38
Mouse,Move,Moved,(991.3359375, 624.03125),2025-02-21 21:09:38
Mouse,Move,Moved,(1013.48828125, 611.3671875),2025-02-21 21:09:38
Mouse,Move,Moved,(1032.921875, 599.40234375),2025-02-21 21:09:38
Mouse,Move,Moved,(1053.4921875, 583.57421875),2025-02-21 21:09:38
Mouse,Move,Moved,(1072.48046875, 566.1640625),2025-02-21 21:09:38
Mouse,Move,Moved,(1091.46875, 548.75390625),2025-02-21 21:09:38
Mouse,Move,Moved,(1108.546875, 530.12109375),2025-02-21 21:09:38
Mouse,Move,Moved,(1124.9921875, 513.671875),2025-02-21 21:09:38
Mouse,Move,Moved,(1142.3984375, 494.6796875),2025-02-21 21:09:38
Mouse,Move,Moved,(1149.21875, 487.85546875),2025-02-21 21:09:38
Mouse,Move,Moved,(1165.6640625, 471.40625),2025-02-21 21:09:38
Mouse,Move,Moved,(1179.7421875, 457.32421875),2025-02-21 21:09:38
Mouse,Move,Moved,(1192.08203125, 447.44921875),2025-02-21 21:09:38
Mouse,Move,Moved,(1202.40625, 439.4140625),2025-02-21 21:09:38
Mouse,Move,Moved,(1211.953125, 433.046875),2025-02-21 21:09:38
Mouse,Move,Moved,(1219.75, 428.171875),2025-02-21 21:09:38
Mouse,Move,Moved,(1222.90625, 426.90625),2025-02-21 21:09:38
Mouse,Move,Moved,(1233.51171875, 422.66015625),2025-02-21 21:09:38
Mouse,Move,Moved,(1240.6171875, 421.76953125),2025-02-21 21:09:38
Mouse,Move,Moved,(1246.234375, 420.96484375),2025-02-21 21:09:38
Mouse,Move,Moved,(1253.33984375, 420.96484375),2025-02-21 21:09:38
Mouse,Move,Moved,(1258.95703125, 420.96484375),2025-02-21 21:09:38
Mouse,Move,Moved,(1264.57421875, 420.96484375),2025-02-21 21:09:38
Mouse,Move,Moved,(1270.19140625, 422.56640625),2025-02-21 21:09:38
Mouse,Move,Moved,(1275.00390625, 426.578125),2025-02-21 21:09:38
Mouse,Move,Moved,(1277.52734375, 428.46875),2025-02-21 21:09:38
Mouse,Move,Moved,(1280.39453125, 432.05078125),2025-02-21 21:09:38
Mouse,Move,Moved,(1285.72265625, 437.37890625),2025-02-21 21:09:38
Mouse,Move,Moved,(1286.8125, 439.5625),2025-02-21 21:09:38
Mouse,Move,Moved,(1289.4765625, 446.66796875),2025-02-21 21:09:38
Mouse,Move,Moved,(1290.27734375, 452.28515625),2025-02-21 21:09:38
Mouse,Move,Moved,(1291.078125, 457.90234375),2025-02-21 21:09:38
Mouse,Move,Moved,(1291.078125, 463.51953125),2025-02-21 21:09:38
Mouse,Move,Moved,(1291.078125, 472.2890625),2025-02-21 21:09:38
Mouse,Move,Moved,(1291.078125, 479.39453125),2025-02-21 21:09:38
Mouse,Move,Moved,(1282.62890625, 497.6953125),2025-02-21 21:09:38
Mouse,Move,Moved,(1273.98828125, 510.03515625),2025-02-21 21:09:38
Mouse,Move,Moved,(1263.5390625, 524.3984375),2025-02-21 21:09:38
Mouse,Move,Moved,(1249.45703125, 539.8828125),2025-02-21 21:09:38
Mouse,Move,Moved,(1233.0078125, 556.328125),2025-02-21 21:09:38
Mouse,Move,Moved,(1211.29296875, 574.69921875),2025-02-21 21:09:38
Mouse,Move,Moved,(1187.91015625, 591.3984375),2025-02-21 21:09:38
Mouse,Move,Moved,(1161.5390625, 610.734375),2025-02-21 21:09:38
Mouse,Move,Moved,(1128.66015625, 632.0078125),2025-02-21 21:09:38
Mouse,Move,Moved,(1093.84375, 651.34765625),2025-02-21 21:09:38
Mouse,Move,Moved,(1055.41796875, 671.5703125),2025-02-21 21:09:38
Mouse,Move,Moved,(1020.6015625, 688.9765625),2025-02-21 21:09:38
Mouse,Move,Moved,(983.8515625, 704.4453125),2025-02-21 21:09:38
Mouse,Move,Moved,(947.13671875, 717.96875),2025-02-21 21:09:38
Mouse,Move,Moved,(910.38671875, 731.50390625),2025-02-21 21:09:38
Mouse,Move,Moved,(878.7421875, 742.05078125),2025-02-21 21:09:38
Mouse,Move,Moved,(847.09765625, 749.08203125),2025-02-21 21:09:38
Mouse,Move,Moved,(818.703125, 755.76171875),2025-02-21 21:09:38
Mouse,Move,Moved,(790.30859375, 760.76953125),2025-02-21 21:09:38
Mouse,Move,Moved,(777.68359375, 761.9140625),2025-02-21 21:09:38
Mouse,Move,Moved,(735.2109375, 763.93359375),2025-02-21 21:09:38
Mouse,Move,Moved,(709.88671875, 763.93359375),2025-02-21 21:09:38
Mouse,Move,Moved,(690.171875, 763.93359375),2025-02-21 21:09:38
Mouse,Move,Moved,(667.7421875, 760.94140625),2025-02-21 21:09:38
Mouse,Move,Moved,(646.80859375, 751.96875),2025-02-21 21:09:38
Mouse,Move,Moved,(624.65234375, 739.3046875),2025-02-21 21:09:38
Mouse,Move,Moved,(605.21484375, 727.33984375),2025-02-21 21:09:38
Mouse,Move,Moved,(583.5, 708.96484375),2025-02-21 21:09:38
Mouse,Move,Moved,(567.05078125, 692.515625),2025-02-21 21:09:38
Mouse,Move,Moved,(549.640625, 673.5234375),2025-02-21 21:09:38
Mouse,Move,Moved,(533.8125, 652.94921875),2025-02-21 21:09:38
Mouse,Move,Moved,(519.56640625, 630.79296875),2025-02-21 21:09:38
Mouse,Move,Moved,(513.19921875, 621.2421875),2025-02-21 21:09:38
Mouse,Move,Moved,(490.94921875, 584.8359375),2025-02-21 21:09:38
Mouse,Move,Moved,(486.703125, 574.2265625),2025-02-21 21:09:38
Mouse,Move,Moved,(476.84375, 555.921875),2025-02-21 21:09:38
Mouse,Move,Moved,(467.87109375, 534.98828125),2025-02-21 21:09:38
Mouse,Move,Moved,(459.9453125, 519.13671875),2025-02-21 21:09:38
Mouse,Move,Moved,(453.33984375, 501.96484375),2025-02-21 21:09:38
Mouse,Move,Moved,(446.734375, 486.11328125),2025-02-21 21:09:38
Mouse,Move,Moved,(440.5625, 472.53515625),2025-02-21 21:09:38
Mouse,Move,Moved,(433.95703125, 456.68359375),2025-02-21 21:09:38
Mouse,Move,Moved,(429.7109375, 446.07421875),2025-02-21 21:09:38
Mouse,Move,Moved,(423.97265625, 434.59765625),2025-02-21 21:09:38
Mouse,Move,Moved,(420.7890625, 423.98828125),2025-02-21 21:09:38
Mouse,Move,Moved,(415.05078125, 412.51171875),2025-02-21 21:09:38
Mouse,Move,Moved,(413.78515625, 409.3515625),2025-02-21 21:09:38
Mouse,Move,Moved,(406.37890625, 395.7734375),2025-02-21 21:09:38
Mouse,Move,Moved,(404.484375, 392.61328125),2025-02-21 21:09:38
Mouse,Move,Moved,(401.2734375, 387.796875),2025-02-21 21:09:38
Mouse,Move,Moved,(397.2578125, 382.98046875),2025-02-21 21:09:38
Mouse,Move,Moved,(393.2421875, 378.1640625),2025-02-21 21:09:38
Mouse,Move,Moved,(390.71484375, 375.63671875),2025-02-21 21:09:38
Mouse,Move,Moved,(387.12890625, 372.765625),2025-02-21 21:09:38
Mouse,Move,Moved,(383.54296875, 369.89453125),2025-02-21 21:09:38
Mouse,Move,Moved,(380.3828125, 368.62890625),2025-02-21 21:09:38
Mouse,Move,Moved,(374.76171875, 367.0234375),2025-02-21 21:09:38
Mouse,Move,Moved,(370.45703125, 367.0234375),2025-02-21 21:09:38
Mouse,Move,Moved,(366.15234375, 367.0234375),2025-02-21 21:09:38
Mouse,Move,Moved,(360.53125, 367.0234375),2025-02-21 21:09:38
Mouse,Move,Moved,(354.91015625, 367.0234375),2025-02-21 21:09:38
Mouse,Move,Moved,(347.109375, 371.89453125),2025-02-21 21:09:38
Mouse,Move,Moved,(340.28515625, 377.7421875),2025-02-21 21:09:38
Mouse,Move,Moved,(337.7578125, 380.265625),2025-02-21 21:09:38
Mouse,Move,Moved,(327.953125, 391.2890625),2025-02-21 21:09:38
Mouse,Move,Moved,(323.9375, 396.1015625),2025-02-21 21:09:38
Mouse,Move,Moved,(320.3828125, 402.3203125),2025-02-21 21:09:38
Mouse,Move,Moved,(317.72265625, 409.40234375),2025-02-21 21:09:38
Mouse,Move,Moved,(315.3125, 415.01953125),2025-02-21 21:09:38
Mouse,Move,Moved,(314.5078125, 420.63671875),2025-02-21 21:09:38
Mouse,Move,Moved,(314.5078125, 423.79296875),2025-02-21 21:09:38
Mouse,Move,Moved,(314.5078125, 429.41015625),2025-02-21 21:09:38
Mouse,Move,Moved,(314.5078125, 433.7109375),2025-02-21 21:09:38
Mouse,Move,Moved,(314.5078125, 442.48046875),2025-02-21 21:09:38
Mouse,Move,Moved,(314.5078125, 443.859375),2025-02-21 21:09:38
Mouse,Move,Moved,(315.13671875, 447.015625),2025-02-21 21:09:38
Mouse,Move,Moved,(319.1484375, 451.02734375),2025-02-21 21:09:38
Mouse,Move,Moved,(323.9609375, 454.234375),2025-02-21 21:09:38
Mouse,Move,Moved,(326.14453125, 454.77734375),2025-02-21 21:09:38
Mouse,Move,Moved,(333.25, 457.44140625),2025-02-21 21:09:38
Mouse,Move,Moved,(340.35546875, 458.328125),2025-02-21 21:09:38
Mouse,Move,Moved,(347.4609375, 459.21484375),2025-02-21 21:09:38
Mouse,Move,Moved,(354.56640625, 460.1015625),2025-02-21 21:09:38
Mouse,Move,Moved,(363.3359375, 461.07421875),2025-02-21 21:09:38
Mouse,Move,Moved,(372.10546875, 461.07421875),2025-02-21 21:09:38
Mouse,Move,Moved,(382.70703125, 461.07421875),2025-02-21 21:09:39
Mouse,Move,Moved,(393.3125, 461.07421875),2025-02-21 21:09:39
Mouse,Move,Moved,(405.93359375, 461.07421875),2025-02-21 21:09:39
Mouse,Move,Moved,(428.359375, 461.07421875),2025-02-21 21:09:39
Mouse,Move,Moved,(437.12890625, 460.09765625),2025-02-21 21:09:39
Mouse,Move,Moved,(465.51953125, 456.75390625),2025-02-21 21:09:39
Mouse,Move,Moved,(476.125, 455.69140625),2025-02-21 21:09:39
Mouse,Move,Moved,(507.765625, 450.4140625),2025-02-21 21:09:39
Mouse,Move,Moved,(516.53515625, 450.4140625),2025-02-21 21:09:39
Mouse,Move,Moved,(533.703125, 449.08984375),2025-02-21 21:09:39
Mouse,Move,Moved,(550.87109375, 447.765625),2025-02-21 21:09:39
Mouse,Move,Moved,(568.0390625, 447.765625),2025-02-21 21:09:39
Mouse,Move,Moved,(582.84375, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(595.46484375, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(608.0859375, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(618.69140625, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(621.84765625, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(630.6171875, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(636.234375, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(639.390625, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(641.57421875, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(642.953125, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(643.703125, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(643.9921875, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(644.28125, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(644.5703125, 446.53125),2025-02-21 21:09:39
Mouse,Move,Moved,(644.5703125, 446.7578125),2025-02-21 21:09:39
Mouse,Move,Moved,(644.5703125, 446.9921875),2025-02-21 21:09:39
Mouse,Left,Pressed,N/A,2025-02-21 21:09:39
Mouse,Left,Released,N/A,2025-02-21 21:09:39
Mouse,Move,Moved,(645.4296875, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(652.53515625, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(655.69140625, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(672.859375, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(687.6640625, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(694.76953125, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(709.57421875, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(737.96484375, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(746.734375, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(763.90234375, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(774.5078125, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(787.12890625, 447.109375),2025-02-21 21:09:39
Mouse,Move,Moved,(797.734375, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(799.91796875, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(807.0234375, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(812.640625, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(815.796875, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(818.953125, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(820.33203125, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(821.7109375, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(822, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(822.75, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(823.0390625, 448.16796875),2025-02-21 21:09:39
Mouse,Move,Moved,(823.328125, 448.45703125),2025-02-21 21:09:39
Mouse,Move,Moved,(823.57421875, 448.703125),2025-02-21 21:09:39
Mouse,Move,Moved,(823.57421875, 448.9921875),2025-02-21 21:09:39
Mouse,Move,Moved,(823.57421875, 449.23828125),2025-02-21 21:09:39
Mouse,Move,Moved,(823.57421875, 449.52734375),2025-02-21 21:09:39
Mouse,Left,Pressed,N/A,2025-02-21 21:09:39
Mouse,Left,Released,N/A,2025-02-21 21:09:39
Mouse,Move,Moved,(823.9921875, 449.52734375),2025-02-21 21:09:40
Mouse,Move,Moved,(829.609375, 449.52734375),2025-02-21 21:09:40
Mouse,Move,Moved,(838.37890625, 447.57421875),2025-02-21 21:09:40
Mouse,Move,Moved,(855.546875, 442.2890625),2025-02-21 21:09:40
Mouse,Move,Moved,(875.2578125, 438.0625),2025-02-21 21:09:40
Mouse,Move,Moved,(897.68359375, 433.57421875),2025-02-21 21:09:40
Mouse,Move,Moved,(922.43359375, 428.9296875),2025-02-21 21:09:40
Mouse,Move,Moved,(935.0546875, 426.6328125),2025-02-21 21:09:40
Mouse,Move,Moved,(957.48046875, 423.640625),2025-02-21 21:09:40
Mouse,Move,Moved,(977.19140625, 419.4140625),2025-02-21 21:09:40
Mouse,Move,Moved,(994.359375, 416.76953125),2025-02-21 21:09:40
Mouse,Move,Moved,(999.9765625, 415.96484375),2025-02-21 21:09:40
Mouse,Move,Moved,(1010.58203125, 413.83984375),2025-02-21 21:09:40
Mouse,Move,Moved,(1017.6875, 412.0625),2025-02-21 21:09:40
Mouse,Move,Moved,(1021.98828125, 411.34375),2025-02-21 21:09:40
Mouse,Move,Moved,(1025.14453125, 410.7109375),2025-02-21 21:09:40
Mouse,Move,Moved,(1026.5234375, 410.25),2025-02-21 21:09:40
Mouse,Move,Moved,(1027.90234375, 410.25),2025-02-21 21:09:40
Mouse,Move,Moved,(1028.19140625, 410.25),2025-02-21 21:09:40
Mouse,Move,Moved,(1028.48046875, 410.25),2025-02-21 21:09:40
Mouse,Move,Moved,(1028.76953125, 410.25),2025-02-21 21:09:40
Mouse,Left,Pressed,N/A,2025-02-21 21:09:40
Mouse,Left,Released,N/A,2025-02-21 21:09:40
Mouse,Move,Moved,(1029.83203125, 410.25),2025-02-21 21:09:41
Mouse,Move,Moved,(1034.1328125, 409.53125),2025-02-21 21:09:41
Mouse,Move,Moved,(1044.73828125, 408.46875),2025-02-21 21:09:41
Mouse,Move,Moved,(1050.35546875, 406.86328125),2025-02-21 21:09:41
Mouse,Move,Moved,(1060.9609375, 403.6796875),2025-02-21 21:09:41
Mouse,Move,Moved,(1073.58203125, 401.3828125),2025-02-21 21:09:41
Mouse,Move,Moved,(1086.203125, 397.9375),2025-02-21 21:09:41
Mouse,Move,Moved,(1098.82421875, 394.4921875),2025-02-21 21:09:41
Mouse,Move,Moved,(1109.41796875, 391.3125),2025-02-21 21:09:41
Mouse,Move,Moved,(1113.71875, 389.875),2025-02-21 21:09:41
Mouse,Move,Moved,(1120.81640625, 387.2109375),2025-02-21 21:09:41
Mouse,Move,Moved,(1126.43359375, 385.60546875),2025-02-21 21:09:41
Mouse,Move,Moved,(1129.58984375, 384.33984375),2025-02-21 21:09:41
Mouse,Move,Moved,(1132.74609375, 383.07421875),2025-02-21 21:09:41
Mouse,Move,Moved,(1134.125, 382.61328125),2025-02-21 21:09:41
Mouse,Move,Moved,(1134.875, 382.234375),2025-02-21 21:09:41
Mouse,Move,Moved,(1135.1640625, 381.94140625),2025-02-21 21:09:41
Mouse,Move,Moved,(1135.453125, 381.94140625),2025-02-21 21:09:41
Mouse,Move,Moved,(1135.7421875, 381.6484375),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 381.6484375),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 381.85546875),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 382.07421875),2025-02-21 21:09:41
Mouse,Move,Moved,(1136.03125, 382.3203125),2025-02-21 21:09:41
Mouse,Left,Pressed,N/A,2025-02-21 21:09:41
Mouse,Left,Released,N/A,2025-02-21 21:09:41
Mouse,Move,Moved,(1135.8203125, 382.3203125),2025-02-21 21:09:41
Mouse,Move,Moved,(1125.2109375, 382.3203125),2025-02-21 21:09:42
Mouse,Move,Moved,(1116.48046875, 382.3203125),2025-02-21 21:09:42
Mouse,Move,Moved,(1099.30859375, 382.3203125),2025-02-21 21:09:42
Mouse,Move,Moved,(1082.13671875, 384.9609375),2025-02-21 21:09:42
Mouse,Move,Moved,(1071.52734375, 384.9609375),2025-02-21 21:09:42
Mouse,Move,Moved,(1051.8125, 386.3671875),2025-02-21 21:09:42
Mouse,Move,Moved,(1016.73828125, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(994.48828125, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(985.71484375, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(968.54296875, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(951.37109375, 388.2109375),2025-02-21 21:09:42
Mouse,Move,Moved,(938.828125, 385.9296875),2025-02-21 21:09:42
Mouse,Move,Moved,(924.01953125, 380.9921875),2025-02-21 21:09:42
Mouse,Move,Moved,(912.546875, 375.25390625),2025-02-21 21:09:42
